Deal Unique Id,From Currency ISO Code,To Currency ISO Code,Deal timestamp,Deal Amount
1,INR,Dollar,1-10-2017,1
2,INR,Dollar,1-10-2017,
3,INR,Dollar,1-10-2017,3
4,INR,Dollar,1-10-2017,4
5,INR,Dollar,1-10-2017,5
6,INR,Dollar,1-10-2017,6
7,INR,Dollar,1-10-2017,7
8,INR,Dollar,1-10-2017,
9,INR,Dollar,1-10-2017,9
10,INR,Dollar,1-10-2017,10
11,INR,Dollar,1-10-2017,11
12,INR,Dollar,1-10-2017,12
13,INR,Dollar,1-10-2017,13
14,INR,Dollar,1-10-2017,14
15,INR,Dollar,1-10-2017,
16,INR,Dollar,1-10-2017,16
17,INR,Dollar,1-10-2017,17
18,INR,Dollar,1-10-2017,18
19,INR,Dollar,1-10-2017,19
20,INR,Dollar,1-10-2017,
21,INR,Dollar,1-10-2017,21
22,INR,Dollar,1-10-2017,22
23,INR,Dollar,1-10-2017,23
24,INR,Dollar,1-10-2017,24
25,INR,Dollar,1-10-2017,25
26,INR,Dollar,1-10-2017,26
27,INR,Dollar,1-10-2017,27
28,INR,Dollar,1-10-2017,28
29,INR,Dollar,1-10-2017,29
30,INR,Dollar,1-10-2017,30
31,INR,Dollar,1-10-2017,31
32,INR,Dollar,1-10-2017,
33,INR,Dollar,1-10-2017,33
34,INR,Dollar,1-10-2017,34
35,INR,Dollar,1-10-2017,35
36,INR,Dollar,1-10-2017,36
37,INR,Dollar,1-10-2017,37
38,INR,Dollar,1-10-2017,38
39,INR,Dollar,1-10-2017,39
40,INR,Dollar,1-10-2017,40
41,INR,Dollar,1-10-2017,41
42,INR,Dollar,1-10-2017,42
43,INR,Dollar,1-10-2017,43
44,INR,Dollar,1-10-2017,44
45,INR,Dollar,1-10-2017,45
46,INR,Dollar,1-10-2017,46
47,INR,Dollar,1-10-2017,47
48,INR,Dollar,1-10-2017,48
49,INR,Dollar,1-10-2017,49
50,INR,Dollar,1-10-2017,50
51,INR,Dollar,1-10-2017,51
52,INR,Dollar,1-10-2017,52
53,INR,Dollar,1-10-2017,53
54,INR,Dollar,1-10-2017,54
55,INR,Dollar,1-10-2017,55
56,INR,Dollar,1-10-2017,56
57,INR,Dollar,1-10-2017,57
58,INR,Dollar,1-10-2017,58
59,INR,Dollar,1-10-2017,59
60,INR,Dollar,1-10-2017,60
61,INR,Dollar,1-10-2017,61
62,INR,Dollar,1-10-2017,62
63,INR,Dollar,1-10-2017,63
64,INR,Dollar,1-10-2017,64
65,INR,Dollar,1-10-2017,65
66,INR,Dollar,1-10-2017,66
67,INR,Dollar,1-10-2017,67
68,INR,Dollar,1-10-2017,68
69,INR,Dollar,1-10-2017,69
70,INR,Dollar,1-10-2017,70
71,INR,Dollar,1-10-2017,71
72,INR,Dollar,1-10-2017,72
73,INR,Dollar,1-10-2017,73
74,INR,Dollar,1-10-2017,74
75,INR,Dollar,1-10-2017,75
76,INR,Dollar,1-10-2017,76
77,INR,Dollar,1-10-2017,77
78,INR,Dollar,1-10-2017,78
79,INR,Dollar,1-10-2017,79
80,INR,Dollar,1-10-2017,80
81,INR,Dollar,1-10-2017,81
82,INR,Dollar,1-10-2017,82
83,INR,Dollar,1-10-2017,83
84,INR,Dollar,1-10-2017,84
85,INR,Dollar,1-10-2017,85
86,INR,Dollar,1-10-2017,86
87,INR,Dollar,1-10-2017,87
88,INR,Dollar,1-10-2017,88
89,INR,Dollar,1-10-2017,89
90,INR,Dollar,1-10-2017,90
91,INR,Dollar,1-10-2017,91
92,INR,Dollar,1-10-2017,92
93,INR,Dollar,1-10-2017,93
94,INR,Dollar,1-10-2017,94
95,INR,Dollar,1-10-2017,95
96,INR,Dollar,1-10-2017,96
97,INR,Dollar,1-10-2017,97
98,INR,Dollar,1-10-2017,98
99,INR,Dollar,1-10-2017,99
100,INR,Dollar,1-10-2017,100
101,INR,Dollar,1-10-2017,101
102,INR,Dollar,1-10-2017,102
103,INR,Dollar,1-10-2017,103
104,INR,Dollar,1-10-2017,104
105,INR,Dollar,1-10-2017,105
106,INR,Dollar,1-10-2017,106
107,INR,Dollar,1-10-2017,107
108,INR,Dollar,1-10-2017,108
109,INR,Dollar,1-10-2017,109
110,INR,Dollar,1-10-2017,110
111,INR,Dollar,1-10-2017,111
112,INR,Dollar,1-10-2017,112
113,INR,Dollar,1-10-2017,113
114,INR,Dollar,1-10-2017,114
115,INR,Dollar,1-10-2017,115
116,INR,Dollar,1-10-2017,116
117,INR,Dollar,1-10-2017,117
118,INR,Dollar,1-10-2017,118
119,INR,Dollar,1-10-2017,119
120,INR,Dollar,1-10-2017,120
121,INR,Dollar,1-10-2017,121
122,INR,Dollar,1-10-2017,122
123,INR,Dollar,1-10-2017,123
124,INR,Dollar,1-10-2017,124
125,INR,Dollar,1-10-2017,125
